Timestamp ID,Pattern ID
TS142,VSL2PLT
TS168,TWG2VSL
TS197,AG2ATH
TS206,VSL2TWG
TS195,MOR2VSL
TS191,TR2AG
TS207,AG2TWG
TS83,CA2BUK
TS72,MOR2CA
TS107,PLT2VSL
TS197,CA2ATH
TS123,MOR2CA
TS143,VSL2PLT
TS111,CA2PLT
TS195,MOR2AG
TS184,MOR2CA
TS2,TR2VSL
TS156,PLT2CA
TS44,VSL2PLT
TS215,VSL2ATH
TS61,AG2MOR
TS112,CA2TWG
TS151,PLT2CA
TS230,SVP2AG
TS145,AG2PLT
TS174,TWG2CA
TS211,VSL2ATH
TS112,TWG2VSL
TS107,CA2PLT
TS199,PLT2AG
TS112,AG2TWG
TS30,VSL2TWG
TS144,VSL2PLT
TS160,CA2TWG
TS36,TWG2VSL
TS150,PLT2VSL
TS208,VSL2TWG
TS69,MOR2CA
TS8,AG2TR
TS97,VSL2ATH
TS24,TR2CA
TS115,TWG2AG
TS160,AG2TWG
TS66,VSL2MOR
TS48,CA2PLT
TS32,TWG2AG
TS109,PLT2CA
TS185,MOR2AG
TS38,TWG2AG
TS148,PLT2VSL
TS167,TWG2VSL
TS101,AG2ATH
TS196,CA2ATH
TS14,TR2CA
TS211,ATH2VSL
TS140,CA2ATH
TS116,TWG2CA
TS124,TR2ATH
TS139,VSL2ATH
TS24,TR2VSL
TS41,TWG2AG
TS128,TR2CA
TS159,PLT2AG
TS7,VSL2TR
TS19,TR2VSL
TS54,PLT2CA
TS119,VSL2MOR
TS183,CA2MOR
TS109,AG2PLT
TS193,CA2MOR
TS205,TWG2CA
TS97,ATH2VSL
TS231,AG2SVP
TS5,CA2TR
TS71,MOR2CA
TS113,TWG2AG
TS121,VSL2MOR
TS122,VSL2MOR
TS49,PLT2CA
TS98,VSL2ATH
TS80,VSL2BUK
TS188,MOR2AG
TS104,VSL2ATH
TS229,SVP2CA
TS120,CA2MOR
TS212,VSL2ATH
TS78,MOR2VSL
TS161,CA2TWG
TS181,CA2MOR
TS198,PLT2CA
TS45,AG2PLT
TS91,BUK2AG
TS128,TR2VSL
TS161,AG2TWG
TS229,SVP2AG
TS116,CA2TWG
TS112,VSL2TWG
TS126,AG2ATH
TS11,VSL2TR
TS88,BUK2AG
TS79,AG2BUK
TS175,TWG2CA
TS28,CA2TWG
TS9,VSL2TR
TS147,CA2PLT
TS92,BUK2VSL
TS205,CA2TWG
TS74,MOR2VSL
TS151,PLT2VSL
TS126,CA2ATH
TS26,CA2TWG
TS160,VSL2TWG
TS3,VSL2TR
TS21,TR2AG
TS13,TR2CA
TS28,AG2TWG
TS198,AG2PLT
TS98,ATH2VSL
TS199,VSL2PLT
TS205,TWG2VSL
TS94,BUK2VSL
TS205,AG2TWG
TS26,AG2TWG
TS74,MOR2AG
TS110,PLT2AG
TS56,PLT2CA
TS169,TWG2CA
TS4,CA2TR
TS12,AG2TR
TS214,ATH2CA
TS32,TWG2VSL
TS99,ATH2CA
TS233,VSL2ATH
TS179,TR2VSL
TS222,SVP2CA
TS13,TR2VSL
TS66,CA2MOR
TS134,TR2CA
TS84,AG2BUK
TS195,VSL2MOR
TS82,VSL2BUK
TS17,TR2CA
TS41,TWG2VSL
TS59,PLT2CA
TS186,MOR2AG
TS76,MOR2CA
TS79,VSL2BUK
TS157,PLT2AG
TS61,VSL2MOR
TS152,PLT2CA
TS1,TR2VSL
TS23,TR2CA
TS54,PLT2VSL
TS18,TR2CA
TS91,BUK2VSL
TS199,PLT2VSL
TS113,TWG2VSL
TS75,MOR2VSL
TS73,MOR2VSL
TS161,VSL2TWG
TS207,CA2TWG
TS20,TR2AG
TS49,PLT2VSL
TS169,TWG2VSL
TS231,CA2SVP
TS131,TR2VSL
TS207,TWG2VSL
TS60,PLT2AG
TS88,BUK2VSL
TS121,CA2MOR
TS45,CA2PLT
TS58,PLT2AG
TS122,CA2MOR
TS135,BUK2CA
TS204,TWG2CA
TS52,PLT2CA
TS72,MOR2VSL
TS89,BUK2AG
TS116,VSL2TWG
TS194,MOR2VSL
TS47,VSL2PLT
TS219,VSL2ATH
TS40,TWG2CA
TS184,MOR2VSL
TS15,TR2VSL
