Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
"ShippingInstructions / displayedNameForPortOfDischarge","displayedNameForPortOfDischarge","string list",,"maxItems=5
maxLength=35",,,"The name to be used in order to specify how the `Port of Discharge` should be displayed on the `Transport Document` to match the name and/or address provided on the `Letter of Credit`.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A line of the address to be displayed on the transport document.",
"ShippingInstructions / displayedNameForPortOfLoad","displayedNameForPortOfLoad","string list",,"maxItems=5
maxLength=35",,,"The name to be used in order to specify how the `Port of Load` should be displayed on the `Transport Document` to match the name and/or address provided on the `Letter of Credit`.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A line of the address to be displayed on the transport document.",
"ShippingInstructions / documentParties",documentParties,"DocumentPartiesShippingInstructions",yes,,,,"All `Parties` with associated roles.

**Condition:** `Buyer` and `Seller` are mandatory if `isCargoDeliveredInICS2Zone=true` **and** `advancedManifestFilingPerformedBy=CARRIER` and `isHouseBillOfLadingsIssued=false`",
"ShippingInstructions / documentParties / buyer",buyer,Buyer,,,,,"The buyer is the last known entity to whom the goods are sold or agreed to be sold. If the goods are to be imported otherwise than in pursuance of a purchase, the details of the owner of the goods shall be provided.

**Condition:** Buyer and Seller are mandatory if `isCargoDeliveredInICS2Zone=true` and `manifestTypeCode='ENS'` and `advancedManifestFilingPerformedBy='CARRIER'` and `isHouseBillOfLadingsIssued=false`.",
"ShippingInstructions / documentParties / buyer / address",address,Address,,,,,"An object for storing address-related information.",
"ShippingInstructions / documentParties / buyer / address / city",city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
"ShippingInstructions / documentParties / buyer / address / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`.",
"ShippingInstructions / documentParties / buyer / address / floor",floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
"ShippingInstructions / documentParties / buyer / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"ShippingInstructions / documentParties / buyer / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"ShippingInstructions / documentParties / buyer / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"ShippingInstructions / documentParties / buyer / address / street",street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
"ShippingInstructions / documentParties / buyer / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"ShippingInstructions / documentParties / buyer / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`.",
