Path,Attribute,Type,Required,Size,Pattern,Example,Description
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / inhalationZone",inhalationZone,string,,maxLength=1,,A,"The zone classification of the toxicity of the inhalant. Possible values are:

- `A` (Hazard Zone A) can be assigned to specific gases and liquids
- `B` (Hazard Zone B) can be assigned to specific gases and liquids
- `C` (Hazard Zone C) can **only** be assigned to specific gases
- `D` (Hazard Zone D) can **only** be assigned to specific gases"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / innerPackagings",innerPackagings,"InnerPackaging list",,,,,"A list of `Inner Packings` contained inside this `outer packaging/overpack`."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / innerPackagings / description",description,string,,maxLength=200,,"Woven plastic water resistant Bag","Description of the packaging."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / innerPackagings / material",material,string,,maxLength=100,,Plastic,"The `material` used for the `Inner Packaging` of the referenced `Dangerous Goods`."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / innerPackagings / quantity",quantity,"integer(int32)",,,,20,"Count of `Inner Packagings` of the referenced `Dangerous Goods`."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isCompetentAuthorityApprovalRequired","isCompetentAuthorityApprovalRequired",boolean,,,,,"Indicates if the cargo require approval from authorities"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isEmptyUncleanedResidue",isEmptyUncleanedResidue,boolean,,,,,"Indicates if the cargo is residue."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isExceptedQuantity",isExceptedQuantity,boolean,,,,,"Indicates if the dangerous goods can be transported as excepted quantity in accordance with Chapter 3.5 of the IMO IMDG Code."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isHot",isHot,boolean,,,,,"Indicates if high temperature cargo is shipped."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isLimitedQuantity",isLimitedQuantity,boolean,,,,,"Indicates if the dangerous goods can be transported as limited quantity in accordance with Chapter 3.4 of the IMO IMDG Code."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isMarinePollutant",isMarinePollutant,boolean,,,,,"Indicates if the goods belong to the classification of Marine Pollutant."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isMolten",isMolten,boolean,,,,,"Indicates that the dangerous goods are offered for transport in molten state. Required when applicable unless already included in the properShippingName."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isReportableQuantity",isReportableQuantity,boolean,,,,,"Indicates if a container of hazardous material is at the reportable quantity level. If `true`, a report to the relevant authority must be made in case of spill."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isSalvagePackings",isSalvagePackings,boolean,,,,,"Indicates if the cargo has special packaging for the transport, recovery or disposal of damaged, defective, leaking or nonconforming hazardous materials packages, or hazardous materials that have spilled or leaked."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isStabilizedSubstance",isStabilizedSubstance,boolean,,,,,"Indicates that the substance is stabilized for transport purposes. Required when applicable unless already included in the properShippingName."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isTemperatureControlled",isTemperatureControlled,boolean,,,,,"Indicates that stabilization is achieved through temperature control during transport. Required when applicable unless already included in the properShippingName."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / isWaste",isWaste,boolean,,,,,"Indicates if waste is being shipped"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits",limits,Limits,,,,,"Limits for the `Dangerous Goods`. The same `Temperature Unit` must apply to all attributes in this structure."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits / flashPoint",flashPoint,"number(float)",,,,42.0,"Lowest temperature at which a chemical can vaporize to form an ignitable mixture in air."
